,False Positive Rate,True Positive Rate
0,0.0,0.0
1,0.0,0.0009832841691248771
2,0.0,0.01376597836774828
3,0.0,0.015732546705998034
4,0.0,0.02753195673549656
5,0.00032425421530479895,0.02753195673549656
6,0.00032425421530479895,0.04129793510324484
7,0.0006485084306095979,0.04129793510324484
8,0.0006485084306095979,0.05309734513274336
9,0.0009727626459143969,0.05309734513274336
10,0.0009727626459143969,0.07472959685349066
11,0.0012970168612191958,0.07472959685349066
12,0.0012970168612191958,0.07669616519174041
13,0.001621271076523995,0.07669616519174041
14,0.001621271076523995,0.08062930186823992
15,0.0019455252918287938,0.08062930186823992
16,0.0019455252918287938,0.08947885939036382
17,0.002269779507133593,0.08947885939036382
18,0.002269779507133593,0.09832841691248771
19,0.0029182879377431907,0.09832841691248771
20,0.0029182879377431907,0.11307767944936087
21,0.00324254215304799,0.11307767944936087
22,0.00324254215304799,0.11504424778761062
23,0.0035667963683527885,0.11504424778761062
24,0.0035667963683527885,0.119960668633235
25,0.0038910505836575876,0.119960668633235
26,0.0038910505836575876,0.12389380530973451
27,0.004215304798962386,0.12389380530973451
28,0.004215304798962386,0.127826941986234
29,0.004539559014267186,0.127826941986234
30,0.004539559014267186,0.13077679449360866
31,0.0048638132295719845,0.13077679449360866
32,0.0048638132295719845,0.14060963618485742
33,0.005512321660181583,0.14060963618485742
34,0.005512321660181583,0.15634218289085547
35,0.00616083009079118,0.15634218289085547
36,0.00616083009079118,0.16027531956735497
37,0.00648508430609598,0.16027531956735497
38,0.00648508430609598,0.16224188790560473
39,0.006809338521400778,0.16224188790560473
40,0.006809338521400778,0.1671583087512291
41,0.0074578469520103765,0.1671583087512291
42,0.0074578469520103765,0.16912487708947885
43,0.007782101167315175,0.16912487708947885
44,0.007782101167315175,0.17010816125860373
45,0.008106355382619975,0.17010816125860373
46,0.008106355382619975,0.1720747295968535
47,0.008430609597924773,0.1720747295968535
48,0.008430609597924773,0.17404129793510326
49,0.009079118028534372,0.17404129793510326
50,0.009079118028534372,0.17994100294985252
51,0.00940337224383917,0.17994100294985252
52,0.00940337224383917,0.18092428711897737
53,0.009727626459143969,0.18092428711897737
54,0.009727626459143969,0.18682399213372664
55,0.010376134889753566,0.18682399213372664
56,0.010376134889753566,0.18780727630285152
57,0.010700389105058366,0.18780727630285152
58,0.010700389105058366,0.18977384464110128
59,0.011024643320363165,0.18977384464110128
60,0.011024643320363165,0.19567354965585054
61,0.011673151750972763,0.19567354965585054
62,0.011673151750972763,0.19665683382497542
63,0.011997405966277562,0.19665683382497542
64,0.011997405966277562,0.19960668633235004
65,0.01232166018158236,0.19960668633235004
66,0.01232166018158236,0.2015732546705998
67,0.01297016861219196,0.2015732546705998
68,0.01297016861219196,0.20943952802359883
69,0.013618677042801557,0.20943952802359883
70,0.013618677042801557,0.2143559488692232
71,0.013942931258106356,0.2143559488692232
72,0.013942931258106356,0.2192723697148476
73,0.014267185473411154,0.2192723697148476
74,0.014267185473411154,0.22025565388397247
75,0.014915693904020753,0.22025565388397247
76,0.014915693904020753,0.22123893805309736
77,0.01556420233463035,0.22123893805309736
78,0.01556420233463035,0.2222222222222222
79,0.015888456549935148,0.2222222222222222
80,0.015888456549935148,0.2232055063913471
81,0.01621271076523995,0.2232055063913471
82,0.01621271076523995,0.22418879056047197
83,0.016861219195849545,0.22418879056047197
84,0.016861219195849545,0.22517207472959685
85,0.017185473411154346,0.22517207472959685
86,0.017185473411154346,0.22615535889872174
87,0.017509727626459144,0.22615535889872174
88,0.017509727626459144,0.22910521140609635
89,0.018158236057068743,0.22910521140609635
90,0.018158236057068743,0.23107177974434612
91,0.01848249027237354,0.23107177974434612
92,0.01848249027237354,0.2359882005899705
93,0.01880674448767834,0.2359882005899705
94,0.01880674448767834,0.23992133726647
95,0.01913099870298314,0.23992133726647
96,0.01913099870298314,0.24385447394296952
97,0.019455252918287938,0.24385447394296952
98,0.019455252918287938,0.24680432645034414
99,0.019779507133592736,0.24680432645034414
100,0.019779507133592736,0.24778761061946902
101,0.020103761348897537,0.24778761061946902
102,0.020103761348897537,0.2497541789577188
103,0.020428015564202335,0.2497541789577188
104,0.020428015564202335,0.2527040314650934
105,0.020752269779507133,0.2527040314650934
106,0.020752269779507133,0.25467059980334317
107,0.021400778210116732,0.25467059980334317
108,0.021400778210116732,0.25663716814159293
109,0.02204928664072633,0.25663716814159293
110,0.02204928664072633,0.2576204523107178
111,0.023022049286640728,0.2576204523107178
112,0.023022049286640728,0.2586037364798427
113,0.023346303501945526,0.2586037364798427
114,0.023346303501945526,0.25958702064896755
115,0.023670557717250323,0.25958702064896755
116,0.023670557717250323,0.2605703048180924
117,0.024319066147859923,0.2605703048180924
118,0.024319066147859923,0.26548672566371684
119,0.02529182879377432,0.26548672566371684
120,0.02529182879377432,0.2723697148475909
121,0.025616083009079117,0.2723697148475909
122,0.025616083009079117,0.27335299901671584
123,0.02594033722438392,0.27335299901671584
124,0.02594033722438392,0.2743362831858407
125,0.026264591439688716,0.2743362831858407
126,0.026264591439688716,0.2753195673549656
127,0.026588845654993514,0.2753195673549656
128,0.026588845654993514,0.27728613569321536
129,0.026913099870298315,0.27728613569321536
130,0.026913099870298315,0.2782694198623402
131,0.027237354085603113,0.2782694198623402
132,0.027237354085603113,0.27925270403146507
133,0.027885862516212712,0.27925270403146507
134,0.027885862516212712,0.28121927236971483
135,0.028534370946822308,0.28121927236971483
136,0.028534370946822308,0.28515240904621436
137,0.02885862516212711,0.28515240904621436
138,0.02885862516212711,0.2920353982300885
